genero,ocupacion,sector,edad,escolaridad,informal,municipio,factor
F,independiente,Servicios,25-49,Primaria o Secundaria,1,apodaca,437
H,independiente,Construcción,25-49,Primaria o Secundaria,1,apodaca,437
F,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,437
F,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,1,apodaca,437
F,trabajador,Industria manufacturera,50-59,Carrera técnica o preparatoria,0,apodaca,437
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,437
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,437
F,independiente,Comercio,60-64,Primaria o Secundaria,1,apodaca,437
H,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,apodaca,437
F,trabajador,Servicios,50-59,Primaria o Secundaria,0,apodaca,437
H,trabajador,Construcción,50-59,Primaria o Secundaria,0,apodaca,437
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,apodaca,437
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,apodaca,467
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,467
H,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,apodaca,467
H,trabajador,Construcción,25-49,Licenciatura,0,apodaca,467
H,trabajador,Transporte y comunicaciones,25-49,Carrera técnica o preparatoria,0,apodaca,426
F,trabajador,Servicios,50-59,Licenciatura,0,apodaca,426
H,trabajador,Servicios,50-59,Licenciatura,0,apodaca,426
F,independiente,Comercio,50-59,Primaria o Secundaria,1,apodaca,426
F,trabajador,Servicios,25-49,Licenciatura,1,apodaca,426
H,trabajador,Gobierno,25-49,Licenciatura,0,guadalupe,350
F,trabajador,Servicios,25-49,Licenciatura,0,guadalupe,350
H,trabajador,Construcción,25-49,Carrera técnica o preparatoria,0,guadalupe,350
H,trabajador,Servicios,65-130,Licenciatura,0,guadalupe,350
F,trabajador,Servicios,60-64,Licenciatura,0,guadalupe,350
F,independiente,Comercio,65-130,Sin Instrucción,1,guadalupe,350
H,trabajador,Servicios,25-49,Licenciatura,0,guadalupe,350
F,trabajador,Gobierno,25-49,Carrera técnica o preparatoria,0,monterrey,354
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,monterrey,354
H,trabajador,Construcción,18-24,Carrera técnica o preparatoria,0,monterrey,354
H,trabajador,Otro,25-49,Carrera técnica o preparatoria,1,monterrey,354
H,trabajador,Servicios,25-49,Licenciatura,0,monterrey,354
H,trabajador,Servicios,25-49,Licenciatura,0,monterrey,354
H,trabajador,Comercio,60-64,Licenciatura,0,monterrey,403
H,trabajador,Servicios,18-24,Primaria o Secundaria,1,monterrey,387
H,trabajador,Servicios,18-24,Primaria o Secundaria,1,monterrey,387
H,trabajador,Servicios,15-17,Primaria o Secundaria,1,monterrey,387
H,trabajador,Servicios,25-49,Primaria o Secundaria,1,monterrey,387
H,independiente,Construcción,50-59,Carrera técnica o preparatoria,1,monterrey,387
F,trabajador,Servicios,25-49,Carrera técnica o preparatoria,0,monterrey,387
F,trabajador,Servicios,25-49,Primaria o Secundaria,0,monterrey,387
H,trabajador,Servicios,25-49,Primaria o Secundaria,1,monterrey,387
H,otro,Comercio,60-64,Primaria o Secundaria,1,monterrey,387
F,independiente,Comercio,65-130,Carrera técnica o preparatoria,0,monterrey,387
H,otro,Servicios,18-24,Licenciatura,1,monterrey,387
H,independiente,Comercio,65-130,Primaria o Secundaria,0,monterrey,387
H,independiente,Servicios,25-49,Carrera técnica o preparatoria,1,monterrey,387
F,trabajador,Comercio,25-49,Primaria o Secundaria,0,monterrey,387
H,trabajador,Servicios,25-49,Primaria o Secundaria,1,santa_catarina,444
F,trabajador,Comercio,25-49,Licenciatura,1,santa_catarina,444
H,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,santa_catarina,444
F,trabajador,Industria manufacturera,18-24,Carrera técnica o preparatoria,0,santa_catarina,444
F,trabajador,Industria manufacturera,18-24,Primaria o Secundaria,0,santa_catarina,444
H,trabajador,Construcción,25-49,Primaria o Secundaria,0,santa_catarina,444
H,independiente,Construcción,50-59,Primaria o Secundaria,1,santa_catarina,444
H,trabajador,Comercio,65-130,Primaria o Secundaria,1,santa_catarina,444
H,independiente,Servicios,25-49,Primaria o Secundaria,1,santa_catarina,444
H,trabajador,Construcción,50-59,Licenciatura,0,san_nicolas,392
H,trabajador,Industria manufacturera,50-59,Carrera técnica o preparatoria,0,san_nicolas,392
H,trabajador,Servicios,50-59,Licenciatura,0,san_nicolas,392
F,trabajador,Servicios,50-59,Licenciatura,0,san_nicolas,392
F,trabajador,Servicios,18-24,Carrera técnica o preparatoria,0,san_nicolas,392
F,trabajador,Gobierno,50-59,Licenciatura,0,san_nicolas,392
H,trabajador,Gobierno,25-49,Licenciatura,0,san_nicolas,392
H,independiente,Comercio,25-49,Licenciatura,1,san_nicolas,434
H,independiente,Comercio,50-59,Licenciatura,0,san_nicolas,434
F,trabajador,Transporte y comunicaciones,60-64,Carrera técnica o preparatoria,0,san_nicolas,434
F,trabajador,Servicios,25-49,Licenciatura,0,san_nicolas,434
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,san_nicolas,434
H,trabajador,Industria manufacturera,50-59,Licenciatura,0,san_nicolas,434
F,trabajador,Servicios,50-59,Licenciatura,0,san_nicolas,434
F,trabajador,Servicios,25-49,Licenciatura,0,san_nicolas,434
H,independiente,Industria manufacturera,50-59,Primaria o Secundaria,1,apodaca,381
F,otro,Industria manufacturera,50-59,Primaria o Secundaria,1,apodaca,381
H,independiente,Servicios,50-59,Licenciatura,1,apodaca,381
F,trabajador,Servicios,25-49,Licenciatura,1,apodaca,381
F,trabajador,Servicios,18-24,Licenciatura,1,apodaca,381
H,trabajador,Comercio,25-49,Postgrado,0,apodaca,381
H,trabajador,Transporte y comunicaciones,25-49,Carrera técnica o preparatoria,0,apodaca,381
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,apodaca,381
H,independiente,Comercio,25-49,Primaria o Secundaria,1,apodaca,381
F,trabajador,Comercio,18-24,Carrera técnica o preparatoria,0,apodaca,381
F,trabajador,Gobierno,50-59,Carrera técnica o preparatoria,0,apodaca,381
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,apodaca,441
F,trabajador,Industria manufacturera,25-49,Licenciatura,0,apodaca,441
H,trabajador,Servicios,50-59,Primaria o Secundaria,0,apodaca,441
F,trabajador,Industria manufacturera,60-64,Primaria o Secundaria,0,apodaca,441
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,441
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,apodaca,441
F,trabajador,Servicios,25-49,Primaria o Secundaria,0,apodaca,441
F,trabajador,Servicios,50-59,Licenciatura,0,apodaca,441
F,trabajador,Servicios,25-49,Licenciatura,0,apodaca,441
H,trabajador,Industria manufacturera,25-49,Licenciatura,0,apodaca,441
F,trabajador,Servicios,18-24,Licenciatura,0,apodaca,441
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,395
H,trabajador,Gobierno,25-49,Licenciatura,1,guadalupe,395
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,395
H,trabajador,Industria manufacturera,18-24,Licenciatura,1,guadalupe,395
H,independiente,Transporte y comunicaciones,65-130,Primaria o Secundaria,0,guadalupe,395
F,trabajador,Gobierno,50-59,Licenciatura,0,guadalupe,395
H,trabajador,Construcción,25-49,Licenciatura,0,guadalupe,395
F,trabajador,Servicios,25-49,Postgrado,0,guadalupe,395
F,trabajador,Industria manufacturera,50-59,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,391
F,trabajador,Comercio,25-49,Carrera técnica o preparatoria,0,guadalupe,391
F,trabajador,Servicios,18-24,Carrera técnica o preparatoria,1,guadalupe,391
F,independiente,Servicios,60-64,Primaria o Secundaria,1,guadalupe,391
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,391
H,trabajador,Servicios,50-59,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Construcción,18-24,Carrera técnica o preparatoria,0,guadalupe,391
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,guadalupe,391
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Construcción,60-64,Primaria o Secundaria,1,guadalupe,391
F,independiente,Comercio,50-59,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Transporte y comunicaciones,25-49,Licenciatura,0,guadalupe,391
F,trabajador,Servicios,18-24,Primaria o Secundaria,0,guadalupe,391
F,trabajador,Servicios,15-17,Primaria o Secundaria,0,guadalupe,391
H,trabajador,Industria manufacturera,25-49,Carrera técnica o preparatoria,0,monterrey,372
F,trabajador,Servicios,25-49,Primaria o Secundaria,1,monterrey,372
H,trabajador,Construcción,50-59,Primaria o Secundaria,0,monterrey,372
H,independiente,Comercio,25-49,Carrera técnica o preparatoria,1,monterrey,372
H,independiente,Comercio,65-130,Primaria o Secundaria,1,monterrey,372
F,otro,Comercio,65-130,Primaria o Secundaria,1,monterrey,372
H,trabajador,Servicios,18-24,Carrera técnica o preparatoria,1,monterrey,372
F,trabajador,Servicios,50-59,Licenciatura,0,monterrey,556
H,trabajador,Industria manufacturera,50-59,Licenciatura,0,monterrey,556
F,trabajador,Otro,25-49,Licenciatura,0,monterrey,556
H,trabajador,Gobierno,50-59,Licenciatura,0,monterrey,556
F,trabajador,Servicios,25-49,Licenciatura,0,monterrey,556
H,independiente,Servicios,25-49,Carrera técnica o preparatoria,1,monterrey,556
H,trabajador,Servicios,25-49,Licenciatura,0,monterrey,556
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,monterrey,356
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,monterrey,356
F,trabajador,Industria manufacturera,25-49,Primaria o Secundaria,0,monterrey,356
H,trabajador,Servicios,25-49,Primaria o Secundaria,0,monterrey,356
