sector,ocupacion,genero,edad,escolaridad,municipio,H-P-V
Comercio,trabajador,H,25-49,Primaria o Secundaria,monterrey,23853a-20/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santa_catarina,1859-30/3-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,5597814/2-1
Industria manufacturera,trabajador,H,18-24,Primaria o Secundaria,santiago,5597816/3-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,5597816/2-1
Servicios,trabajador,H,60-64,Carrera técnica o preparatoria,santiago,5597816/1-1
Servicios,trabajador,H,18-24,Licenciatura,santiago,5597818/2-1
Servicios,trabajador,F,25-49,Licenciatura,santiago,5597820/1-1
Servicios,independiente,H,50-59,Licenciatura,santiago,56014-24/1-1
Servicios,trabajador,H,50-59,Licenciatura,santiago,55933-4/2-1
Servicios,trabajador,F,25-49,Licenciatura,santiago,56015-4/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,56015-4/2-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,monterrey,8434-16/1-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55933-3/1-1
Comercio,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,56014-22/2-1
Industria manufacturera,trabajador,F,50-59,Carrera técnica o preparatoria,santiago,55978-24/3-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,santiago,55978-24/2-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,1044A-21/3-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,55778-1/3-1
Gobierno,trabajador,H,60-64,Licenciatura,santiago,55975-4A/1-1
Servicios,trabajador,F,65-130,Carrera técnica o preparatoria,santiago,55699-20/1-1
Servicios,trabajador,H,25-49,Licenciatura,monterrey,8432-6/1-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,55697-2/1-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,3770_23/3-1
Servicios,trabajador,H,25-49,Licenciatura,santiago,3857-5/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,3769-5/2-1
Comercio,trabajador,F,25-49,Primaria o Secundaria,santiago,3769-5/1-1
Construcción,trabajador,H,50-59,Primaria o Secundaria,santiago,379-2/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,3793-8/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,monterrey,8086-4/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,3793-2/3-1
Otro,otro,H,12-14,Carrera técnica o preparatoria,santiago,3796-2/3-1
Servicios,trabajador,H,18-24,Carrera técnica o preparatoria,santiago,3790-8/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,055805-04/3-1
